date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:04:15	684/684	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2022%20Apr%202025%2017:04:15%20GMT	https://yami/robots.txt		(from )
18:04:16	39386/39386	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Apr%202025%2017:04:15%20GMT	https://yami/	./downloaded-site/yami/index.html	(from )
18:04:16	16762/16762	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Feb%202025%2012:10:18%20GMT	https://yami/images/favicon.png	./downloaded-site/yami/images/favicon.png	(from https://yami/)
18:04:18	41229/41229	---M--	200	added ('OK')	text/css	date:Thu,%2013%20Feb%202025%2011:00:38%20GMT	https://yami//files/styles.css?v=1745341455	./downloaded-site/yami/files/styles6e66.css	(from https://yami/)
18:04:18	4650/4650	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Jan%202025%2020:24:02%20GMT	https://yami//images/logo.png	./downloaded-site/yami/images/logo.png	(from https://yami/)
18:04:19	2870/2870	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Feb%202025%2011:45:28%20GMT	https://yami/images/btn-5.png	./downloaded-site/yami/images/btn-5.png	(from https://yami/)
18:04:21	69715/69715	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jan%202025%2011:31:16%20GMT	https://yami/images/Yami/1.png	./downloaded-site/yami/images/Yami/1.png	(from https://yami/)
18:04:22	973/973	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Feb%202025%2012:36:49%20GMT	https://yami/images/coin/1.png	./downloaded-site/yami/images/coin/1.png	(from https://yami/)
18:04:23	1366/1366	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Feb%202025%2012:36:46%20GMT	https://yami/images/coin/2.png	./downloaded-site/yami/images/coin/2.png	(from https://yami/)
18:04:23	824/824	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Feb%202025%2012:36:47%20GMT	https://yami/images/coin/3.png	./downloaded-site/yami/images/coin/3.png	(from https://yami/)
18:04:24	1670/1670	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Feb%202025%2012:36:47%20GMT	https://yami/images/coin/4.png	./downloaded-site/yami/images/coin/4.png	(from https://yami/)
18:04:25	1100/1100	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Feb%202025%2012:36:48%20GMT	https://yami/images/coin/5.png	./downloaded-site/yami/images/coin/5.png	(from https://yami/)
18:04:26	1055/1055	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Feb%202025%2012:36:49%20GMT	https://yami/images/coin/6.png	./downloaded-site/yami/images/coin/6.png	(from https://yami/)
